model_name,dataset,example_id,temperature,perturbation_type,perturbation_position,perturbed_question,gold_answer,clean_answer,clean_cot,perturbed_answer,perturbed_cot,clean_correct,perturbed_correct,apa,similarity,collapse,semantic_drift,recovery,faithfulness_risk,faithfulness_support,faithfulness_contradiction,faithfulness_method
mock-baseline,gsm8k,gsm8k_0001,0.0,lexical_paraphrase,beginning,"A store sells pencils in packs of 4. If Mia buys 3 packs, how many pencils does she get?",12,mock_answer,Step 1: parse constraints. Step 2: reason over entities. Step 3: produce final answer.,mock_answer,Step 1: parse constraints. Step 2: reason over entities. Step 3: produce final answer.,False,False,True,1.0,0.0,0.9411764705882353,,0.6323529411764706,0.5,0.0,heuristic
mock-baseline,gsm8k,gsm8k_0001,0.0,lexical_paraphrase,middle,"A store sells pencils in packs of 4. If Mia buys 3 packs, how many pencils does she get?",12,mock_answer,Step 1: parse constraints. Step 2: reason over entities. Step 3: produce final answer.,mock_answer,Step 1: parse constraints. Step 2: reason over entities. Step 3: produce final answer.,False,False,True,1.0,0.0,0.9411764705882353,,0.6323529411764706,0.5,0.0,heuristic
mock-baseline,gsm8k,gsm8k_0001,0.0,lexical_paraphrase,end,"A store sells pencils in packs of 4. If Mia buys 3 packs, how many pencils does she get?",12,mock_answer,Step 1: parse constraints. Step 2: reason over entities. Step 3: produce final answer.,mock_answer,Step 1: parse constraints. Step 2: reason over entities. Step 3: produce final answer.,False,False,True,1.0,0.0,0.9411764705882353,,0.6323529411764706,0.5,0.0,heuristic
mock-baseline,gsm8k,gsm8k_0001,0.0,semantic_distractor,beginning,"Context note: A nearby city opened a new museum last year. A store sells pencils in packs of 4. If Mia buys 3 packs, how many pencils does she get?",12,mock_answer,Step 1: parse constraints. Step 2: reason over entities. Step 3: produce final answer.,mock_answer,Step 1: parse constraints. Step 2: reason over entities. Step 3: produce final answer.,False,False,True,1.0,0.0,0.9615384615384616,,0.6384615384615384,0.5,0.0,heuristic
mock-baseline,gsm8k,gsm8k_0001,0.0,semantic_distractor,middle,"A store sells pencils in packs of 4. If Context note: A nearby city opened a new museum last year. Mia buys 3 packs, how many pencils does she get?",12,mock_answer,Step 1: parse constraints. Step 2: reason over entities. Step 3: produce final answer.,mock_answer,Step 1: parse constraints. Step 2: reason over entities. Step 3: produce final answer.,False,False,True,1.0,0.0,0.9615384615384616,,0.6384615384615384,0.5,0.0,heuristic
mock-baseline,gsm8k,gsm8k_0001,0.0,semantic_distractor,end,"A store sells pencils in packs of 4. If Mia buys 3 packs, how many pencils does she get? Context note: A nearby city opened a new museum last year.",12,mock_answer,Step 1: parse constraints. Step 2: reason over entities. Step 3: produce final answer.,mock_answer,Step 1: parse constraints. Step 2: reason over entities. Step 3: produce final answer.,False,False,True,1.0,0.0,0.9615384615384616,,0.6384615384615384,0.5,0.0,heuristic
mock-baseline,gsm8k,gsm8k_0001,0.0,intermediate_wrong_step,beginning,"Interim claim: adding both sides gives 17 before simplification. A store sells pencils in packs of 4. If Mia buys 3 packs, how many pencils does she get?",12,mock_answer,Step 1: parse constraints. Step 2: reason over entities. Step 3: produce final answer.,mock_answer,Step 1: parse constraints. Step 2: reason over entities. Step 3: produce final answer.,False,False,True,1.0,0.0,0.9615384615384616,0.0,0.6384615384615384,0.5,0.0,heuristic
mock-baseline,gsm8k,gsm8k_0001,0.0,intermediate_wrong_step,middle,"A store sells pencils in packs of 4. If Interim claim: adding both sides gives 17 before simplification. Mia buys 3 packs, how many pencils does she get?",12,mock_answer,Step 1: parse constraints. Step 2: reason over entities. Step 3: produce final answer.,mock_answer,Step 1: parse constraints. Step 2: reason over entities. Step 3: produce final answer.,False,False,True,1.0,0.0,0.9615384615384616,0.0,0.6384615384615384,0.5,0.0,heuristic
mock-baseline,gsm8k,gsm8k_0001,0.0,intermediate_wrong_step,end,"A store sells pencils in packs of 4. If Mia buys 3 packs, how many pencils does she get? Interim claim: adding both sides gives 17 before simplification.",12,mock_answer,Step 1: parse constraints. Step 2: reason over entities. Step 3: produce final answer.,mock_answer,Step 1: parse constraints. Step 2: reason over entities. Step 3: produce final answer.,False,False,True,1.0,0.0,0.9615384615384616,0.0,0.6384615384615384,0.5,0.0,heuristic
mock-baseline,gsm8k,gsm8k_0001,0.0,skipped_step,beginning,"A store sells pencils in packs of 4. If Mia buys 3 packs, how many pencils does she get?",12,mock_answer,Step 1: parse constraints. Step 2: reason over entities. Step 3: produce final answer.,mock_answer,Step 1: parse constraints. Step 2: reason over entities. Step 3: produce final answer.,False,False,True,1.0,0.0,0.9411764705882353,,0.6323529411764706,0.5,0.0,heuristic
